State,Median2022,Error2022,Median202224,Error202224
Alabama,59910,1934,63870,2062
Alaska,89740,4842,95670,5161
Arizona,73450,4123,78300,4395
Arkansas,53980,2376,57540,2532
California,85300,1960,90930,2089
Colorado,89930,3790,95870,4040
Connecticut,90730,4245,96720,4526
Delaware,80750,4160,86090,4435
District of Columbia,101700,3114,108400,3319
Florida,65370,1950,69680,2079
Georgia,67730,2981,72200,3178
Hawaii,91010,3712,97010,3957
Idaho,72580,2657,77370,2833
Illinois,78020,2365,83170,2521
Indiana,70030,2717,74650,2896
Iowa,76320,3355,81360,3576
Kansas,73040,3440,77870,3668
Kentucky,55870,4060,59560,4329
Louisiana,58320,2024,62180,2157
Maine,75160,3545,80130,3779
Maryland,108200,5355,115400,5709
Massachusetts,93550,3280,99720,3497
Michigan,68990,2794,73550,2978
Minnesota,90390,4307,96350,4591
Mississippi,48610,2427,51820,2587
Missouri,71520,4037,76240,4303
Montana,72970,2878,77790,3068
Nebraska,78360,3148,83540,3356
Nevada,72330,3554,77100,3789
New Hampshire,84970,5553,90580,5920
New Jersey,92340,3453,98430,3680
New Mexico,56420,2348,60150,2503
New York,75910,2009,80920,2142
North Carolina,65070,2996,69370,3194
North Dakota,78720,4371,83910,4659
Ohio,67520,2214,71980,2360
Oklahoma,63440,3371,67630,3594
Oregon,86780,3431,92510,3657
Pennsylvania,72210,2594,76970,2765
Rhode Island,80650,4121,85980,4393
South Carolina,61770,2601,65840,2773
South Dakota,67180,3398,71620,3622
Tennessee,65380,2564,69700,2733
Texas,74640,1832,79560,1953
Utah,95800,4030,102100,4296
Vermont,72190,4163,76960,4438
Virginia,85170,4082,90790,4351
Washington,89430,2633,95330,2807
West Virginia,52460,2383,55920,2540
Wisconsin,73330,2567,78170,2736
Wyoming,73090,2300,77920,2452
