StateCode,StateAbbrev,StateName,TotalSchooling,NoSchooling,ElemSchool,MidSchool,SomeHigh,HighSchoolDiplomaGED,SomeCollege,Associates,Bachelors,ProfessionalMaster,Doctorate,TotalLaborForce,InLaborForceCivEmployed,InLaborForceCivUnemployed,InLaborForceArmedForces,NotInLaborLorce,TotalAbove19Insurance,F19to34Years,F19to34YearsWithOneInsurance,F19to34YearsWithTwoPlusInsurance,F19to34YearsWithNoInsurance,F35to64Years,F35to64YearsWithOneInsurance,F35to64YearsWithTwoPlusInsurance,F35to64YearsWithNoInsurance,F65Up,F65UpWithOneInsurance,F65UpWithTwoPlusInsurance,F65UpWithNoInsurance
1,AL,Alabama,3474924,49405,11258,57371,271263,1057155,716144,311537,609316,348567,42908,4093740,2278494,103239,16480,1695527,3805962,1045315,790956,76030,178329,1870749,1412981,239584,218184,889898,306610,579761,3527
2,AK,Alaska,489218,5001,2245,3704,21719,142455,116078,48370,94168,48930,6548,575934,345201,16484,24408,189841,518427,153714,108297,17408,28009,264728,200609,31926,32193,99985,27333,71272,1380
4,AZ,Arizona,5053656,97389,35510,108568,306781,1202946,1160936,475387,1032052,560845,73242,5961733,3441676,153937,24085,2342035,5568863,1598831,1214145,100966,283720,2607834,2068586,228171,311077,1362198,550014,800023,12161
5,AR,Arkansas,2057624,29465,11221,42054,140697,705670,438076,167634,323961,174859,23987,2430600,1335560,62359,6271,1026410,2251486,618320,485691,39889,92740,1110034,864551,132335,113148,523132,190290,330421,2421
6,CA,California,26866773,1005809,470824,900172,1738878,5506855,5192854,2115440,6056169,3362073,517699,31552708,18942977,1060822,170369,11378540,29532121,8677741,7239929,550714,887098,14799559,12396737,1153252,1249570,6054821,2357777,3629270,67774
8,CO,Colorado,4084004,56446,13752,43891,170479,823109,762179,339016,1177891,614219,83022,4776317,3131144,113244,44587,1487342,4457121,1339868,1108290,85065,146513,2220685,1847838,179319,193528,896568,377078,513190,6300
9,CT,Connecticut,2545188,48842,19292,32242,115659,660047,405693,197009,584999,431548,49857,2986455,1861502,92597,7246,1025110,2801639,738166,627067,42924,68175,1418603,1224207,107550,86846,644870,254610,384977,5283
10,DE,Delaware,724041,9161,2413,7370,38980,204385,135691,61657,151894,97534,14956,835365,498721,22272,3143,311229,782980,197612,165069,10956,21587,377038,313871,36976,26191,208330,61409,145397,1524
11,DC,District of Columbia,479231,4037,2566,3600,20152,64543,55085,15974,126678,162185,24411,557547,374882,20199,5027,157439,527212,198983,180803,10927,7253,242930,213211,19948,9771,85299,24584,60139,576
12,FL,Florida,16104410,300891,120374,258170,943495,4363609,2955638,1643815,3445343,1840913,232162,18459053,10489216,434875,81457,7453505,17363423,4265635,3186210,229440,849985,8406756,6463063,734576,1209117,4691032,2024553,2614272,52207
13,GA,Georgia,7332980,131319,41094,120025,476498,1979843,1401114,638973,1519625,906381,118108,8708310,5273176,229718,59775,3145641,8052849,2313621,1693532,151916,468173,4132203,3096228,432926,603049,1607025,622462,970487,14076
15,HI,Hawaii,1023843,13178,6037,13158,40369,273910,200539,113948,226124,119663,16917,1175667,674532,25395,46258,429482,1072642,259165,217365,23002,18798,523779,443033,61769,18977,289698,82357,205681,1660
16,ID,Idaho,1280178,18849,5903,19613,57919,333105,305642,125979,274409,122046,16713,1530729,921141,28209,5810,575569,1417661,404743,319325,34881,50537,691263,546295,69408,75560,321655,117289,202199,2167
17,IL,Illinois,8692839,172928,52421,176140,432890,2187110,1664034,731898,1952990,1181637,140791,10199598,6293807,314814,20133,3570844,9534077,2653285,2232250,140261,280774,4780348,4012341,351180,416827,2100444,792437,1291342,16665
18,IN,Indiana,4584460,66612,13873,83478,285425,1472890,880898,424272,869217,430522,57273,5456066,3355406,124513,4086,1972061,5071599,1450702,1182557,99670,168475,2504064,2075250,224830,203984,1116833,428254,682993,5586
19,IA,Iowa,2159511,26859,4618,21857,87687,637844,424541,258299,463740,206109,27957,2570925,1658607,50381,3993,857944,2390947,669504,561415,56309,51780,1158570,993365,105441,59764,562873,188226,373793,854
20,KS,Kansas,1944891,31297,8393,29508,84983,491928,429452,176787,426910,235235,30398,2330842,1456502,54833,19742,799765,2145948,616123,476270,48077,91776,1041580,820216,106205,115159,488245,172299,313738,2208
21,KY,Kentucky,3091499,41904,11372,78856,207927,1002671,615118,272315,508620,315506,37210,3626511,2061238,93466,16148,1455659,3367553,919296,760880,65124,93292,1679716,1394437,179820,105459,768541,254804,511167,2570
22,LA,Louisiana,3096121,49025,14920,64847,264491,1006184,635109,221439,525044,279730,35332,3656541,2038340,116744,18423,1483034,3374253,932556,743420,79452,109684,1683155,1326317,197761,159077,758542,291151,463410,3981
